Year,Jurisdiction,Category,Stream,Management,Fate,Tonnes,Core or non-core
"2020-2021","Qld","Organics","C&D","Landfill","Energy recovery","2807.8712727018","Core waste"
"2020-2021","Qld","Organics","C&D","Recycling","Recycling","45768","Core waste"
"2020-2021","Qld","Organics","C&I","Energy from waste facility","Energy recovery","16964.4316","Core waste"
"2020-2021","Qld","Organics","C&I","Landfill","Disposal","516325.861595402","Core waste"
"2020-2021","Qld","Organics","C&I","Landfill","Energy recovery","122144.238404598","Core waste"
"2020-2021","Qld","Organics","C&I","Recycling","Recycling","537336","Core waste"
"2020-2021","Qld","Organics","MSW","Energy from waste facility","Energy recovery","4933.56840000002","Core waste"
"2020-2021","Qld","Organics","MSW","Landfill","Disposal","774125.101328706","Core waste"
"2020-2021","Qld","Organics","MSW","Landfill","Energy recovery","243644.993671294","Core waste"
"2020-2021","Qld","Organics","MSW","Recycling","Recycling","375811","Core waste"
"2020-2021","Qld","Paper & cardboard","C&D","Energy from waste facility","Energy recovery","0","Core waste"
"2020-2021","Qld","Paper & cardboard","C&D","Landfill","Disposal","13051.9151704434","Core waste"
"2020-2021","Qld","Paper & cardboard","C&D","Landfill","Energy recovery","2654.10482955663","Core waste"
